Datetime,ScreenName,Text,Geolocation
3/11/2021 23:59,prerna_j,I’ve been up since 4 am. Why does my brain hate me so much ?,Bangalore
3/11/2021 23:59,vamshireddy9182,"RT @sanjaymanjrekar: English not my strong suit. What’s the adjective for ‘better than genius’? 
That’s what AB is! Really! 🙏🏼🙏🏼
#RCBvsMI",Bangalore
3/11/2021 23:59,TOIMumbai,Mumbai: Bizman’s Rs 78cr property attached in Wadhawan case https://t.co/9Gfd3IITJj,Bangalore
3/11/2021 23:59,samucancld,"RT @vinayak26_: If opposition players touch their bums they will become gay, nice tactics 👍",Bangalore
3/11/2021 23:59,Sugir68770452,"RT @AudaciousQuest_: BJP is not scared of Covid or China. They are scared of @RahulGandhi . They have put all their energy, time and resour…",Bangalore
3/11/2021 23:59,kookiecheeks,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/11/2021 23:59,advssjoshi,RT @republic: Uttarakhand CM revokes Trivendra govt's Char Dham law; frees 51 temples from state control https://t.co/gJQTbVyPPb,Bangalore
3/11/2021 23:59,sirajnoorani,"Mahesh Shetty's statement was also recorded by National Investigation Agency (NIA) earlier today, in connection with Antilia bomb scare case &amp; Mansukh Hiren death case.",Bangalore
3/11/2021 23:59,Bepannaah_Craze,"RT @rebel4SSR: For those who thought they got rid off him on 13th/14th June,

Mahadev has blessed Sushant. 

Now he lives within many &amp; eve…",Bangalore
3/12/2021 23:59,SureshVijkumar,RT @mipaltan: What an effort this was from Marco! The youngster gave his all in a tough situation 👏,Bangalore
3/12/2021 23:59,Archana86264610,"RT @AccessTV2: Video Link - https://t.co/ligohHZYXB

Eijaz Khan Reaction On Rubina Dilaik And Paras Chhabra's Song Galat | Access TV

#pavi…",Bangalore
3/12/2021 23:59,sivajirathod142,"RT @BOWorldwide: #VakeelSaabReview: #PawanKalyan’s Film Is A Story That Makes You Think &amp; Cry At The Same Time!

Critics Rating: ⭐⭐⭐ 1/2

@…",Bangalore
3/12/2021 23:59,PolitcsObserver,"@rathinakatti @Schumy_Official Looks like Thiruma is a constant fake news spreader and from Whatapp University. Atleast in the Dhakshina Pradesh issue. But now, looks like this claim is same. Can you provide with proof ?
https://t.co/1bUHigArjW",Bangalore
3/12/2021 23:59,chandernj,RT @MadhuriDixit: The magic hour 🌅 https://t.co/t47SOXtd13,Bangalore
3/12/2021 23:59,Satyam43635737,"RT @ITRADE191: How I traded intraday today being a Friday. Look at this chart and try to understand, watch the IPL and enjoy your weekend.…",Bangalore
3/12/2021 23:59,SSRaliveinme,"RT @Innocent1Ashish: Thanks buddy @HeliPandya8 For Tagging Me :)
SUSHANT LIVES FOREVER ❤️
@_innocent_yash @itssYSR @PreetiK2021 @SeriEterni…",Bangalore
3/12/2021 23:59,sirajnoorani,"Central Bureau of Investigation (CBI) recorded the statement of Mahesh Shetty, a bar owner who is close to #SachinWaze, in connection with extortion allegations against former #Maharashtra Home Minister #AnilDeshmukh.

#Maharashtra",Bangalore
3/12/2021 23:59,Yash13490,"RT @SunainaHoley: Remdesivir ❌
Tocilizumab ❌
Oxygen ❌
Beds ❌

Covishield Vaccines 15 Lac ✅
More is in the pipeline.. 

But Vaccination Is S…",Bangalore
3/12/2021 23:59,Hemant_Binnani,@Ashabachchan Good Morning Rashaji,Bangalore
3/12/2021 23:59,YashCultSumith,RT @YashCult_Jk: Today #KGFChapter2 Is Most Awaited Pan India Movie in India Main Reason For this @TheNameIsYash BOSS his taken initiative…,Bangalore
3/12/2021 23:59,datejisoo,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/12/2021 23:59,nuthan_ch,"RT @rebel4SSR: @shinne_tu73901 @Republic_Bharat 🙌🏼
Sushant Lives Forever",Bangalore
3/12/2021 23:59,ifavsooya,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/13/2021 23:59,WanGirlxxx,RT @secutebeliebz: JUSTIN BIEBER ALWAYS UNDERSTANDS THE ASSIGNMENT !!! https://t.co/avQKjN6bJX,Bangalore
3/13/2021 23:59,bittuKu36153446,"RT @SonuSood: Already on it buddy. 
#lagwayakya https://t.co/oIBBkwx1n9",Bangalore
3/13/2021 23:59,prasanna3009,"RT @DrRahulGhule11: Sorry to say but 
If lockdown not done then unfortunately patients will die either  at home or outside hospital.. 
( Le…",Bangalore
3/13/2021 23:59,sunay1985,"RT @DrRahulGhule11: We request govt of maharashtra to do complete lockdown for atleast 21 days, otherwise it will paralyze Healthcare syste…",Bangalore
3/13/2021 23:59,sonu74m,RT @iMac_too: Your lord Pappu is busy on Twitter,Bangalore
3/13/2021 23:59,SSRaliveinme,"RT @Innocent1Ashish: Shining like a Star and Smelling like a flower @itsSSR 
Urs Forever 🖤💛🙏🏻💚💜

SUSHANT LIVES FOREVER ♥️ 🙏🏻 https://t.co/o…",Bangalore
3/13/2021 23:59,Zoopig2,RT @bookmyshow: Pawan Kalyan understood and aced his assignments every single time. #VakeelSaab https://t.co/gA11WxpntT,Bangalore
3/13/2021 23:59,Mahipankaj07,"RT @StanMSD: Everything looks So Dull 
Scorecard , fake Crowd sounds , Commentary ! #IPL2021",Bangalore
3/13/2021 23:59,bilawalbir,"RT @MXPlayer: It's going to be one hell of a ride! 

#CruisingLegendsOnMX, trailer out soon 🏍

Watch the teaser here: https://t.co/KU4XERem…",Bangalore
3/13/2021 23:59,ananbiladers,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/13/2021 23:59,VikasGhogare3,"RT @dinesh_sir: As per current situation, we have conducted online poll of Maharashtra Students to know their view for upcoming board exams…",Bangalore
3/13/2021 23:59,Bony01161,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Bangalore
3/13/2021 23:59,Zauberwaurfel,"RT @glamsham: Sidharth Shukla and Sonia Rathee share a lip lock in Broken But Beautiful 3

#Glamsham @sidharth_shukla #soniarathee @ektarka…",Bangalore
